SHCODE56,COUNTRY,YEAR,GDP,OPEN
4,BOTSWANA,1973,1197.00,0.00
4,BOTSWANA,1974,1362.00,0.00
4,BOTSWANA,1975,1335.00,0.00
4,BOTSWANA,1976,1455.00,0.00
4,BOTSWANA,1977,1412.00,0.00
4,BOTSWANA,1978,1620.00,0.00
4,BOTSWANA,1979,1735.00,1.00
4,BOTSWANA,1980,1940.00,1.00
4,BOTSWANA,1981,1973.00,1.00
4,BOTSWANA,1982,1980.00,1.00
4,BOTSWANA,1983,1873.00,1.00
4,BOTSWANA,1984,1947.00,1.00
4,BOTSWANA,1985,2337.00,1.00
4,BOTSWANA,1986,2662.00,1.00
4,BOTSWANA,1987,2207.00,1.00
4,BOTSWANA,1988,2410.00,1.00
4,BOTSWANA,1989,2198.00,1.00
4,BOTSWANA,1990,,1.00
4,BOTSWANA,1991,,1.00
4,BOTSWANA,1992,,1.00
5,BURKINA FASO,1950,,
5,BURKINA FASO,1951,,
5,BURKINA FASO,1952,,
5,BURKINA FASO,1953,,
5,BURKINA FASO,1954,,
5,BURKINA FASO,1955,,
5,BURKINA FASO,1956,,
5,BURKINA FASO,1957,,
5,BURKINA FASO,1958,,
5,BURKINA FASO,1959,515.00,
5,BURKINA FASO,1960,456.00,0.00
5,BURKINA FASO,1961,413.00,0.00
5,BURKINA FASO,1962,428.00,0.00
5,BURKINA FASO,1963,403.00,0.00
5,BURKINA FASO,1964,405.00,0.00
5,BURKINA FASO,1965,373.00,0.00
5,BURKINA FASO,1966,367.00,0.00
5,BURKINA FASO,1967,399.00,0.00
5,BURKINA FASO,1968,411.00,0.00
5,BURKINA FASO,1969,411.00,0.00
5,BURKINA FASO,1970,374.00,0.00
5,BURKINA FASO,1971,374.00,0.00
5,BURKINA FASO,1972,377.00,0.00
5,BURKINA FASO,1973,376.00,0.00
5,BURKINA FASO,1974,393.00,0.00
5,BURKINA FASO,1975,416.00,0.00
5,BURKINA FASO,1976,435.00,0.00
5,BURKINA FASO,1977,448.00,0.00
5,BURKINA FASO,1978,445.00,0.00
5,BURKINA FASO,1979,461.00,0.00
5,BURKINA FASO,1980,457.00,0.00
5,BURKINA FASO,1981,466.00,0.00
5,BURKINA FASO,1982,512.00,0.00
5,BURKINA FASO,1983,502.00,0.00
5,BURKINA FASO,1984,474.00,0.00
5,BURKINA FASO,1985,495.00,0.00
5,BURKINA FASO,1986,511.00,0.00
5,BURKINA FASO,1987,511.00,0.00
5,BURKINA FASO,1988,522.00,0.00
5,BURKINA FASO,1989,519.00,0.00
5,BURKINA FASO,1990,511.00,0.00
5,BURKINA FASO,1991,522.00,0.00
5,BURKINA FASO,1992,514.00,0.00
6,BURUNDI,1950,,
6,BURUNDI,1951,,
6,BURUNDI,1952,,
6,BURUNDI,1953,,
6,BURUNDI,1954,,
6,BURUNDI,1955,,
6,BURUNDI,1956,,
6,BURUNDI,1957,,
6,BURUNDI,1958,,
6,BURUNDI,1959,,
6,BURUNDI,1960,640.00,
6,BURUNDI,1961,615.00,
6,BURUNDI,1962,512.00,0.00
6,BURUNDI,1963,512.00,0.00
6,BURUNDI,1964,453.00,0.00
6,BURUNDI,1965,390.00,0.00
6,BURUNDI,1966,403.00,0.00
6,BURUNDI,1967,419.00,0.00
6,BURUNDI,1968,419.00,0.00
6,BURUNDI,1969,415.00,0.00
6,BURUNDI,1970,341.00,0.00
6,BURUNDI,1971,450.00,0.00
6,BURUNDI,1972,431.00,0.00
6,BURUNDI,1973,447.00,0.00
6,BURUNDI,1974,434.00,0.00
6,BURUNDI,1975,447.00,0.00
6,BURUNDI,1976,451.00,0.00
6,BURUNDI,1977,508.00,0.00
6,BURUNDI,1978,489.00,0.00
6,BURUNDI,1979,487.00,0.00
6,BURUNDI,1980,480.00,0.00
6,BURUNDI,1981,506.00,0.00
6,BURUNDI,1982,503.00,0.00
6,BURUNDI,1983,487.00,0.00
6,BURUNDI,1984,483.00,0.00
6,BURUNDI,1985,527.00,0.00
6,BURUNDI,1986,551.00,0.00
6,BURUNDI,1987,538.00,0.00
6,BURUNDI,1988,559.00,0.00
6,BURUNDI,1989,532.00,0.00
6,BURUNDI,1990,550.00,0.00
6,BURUNDI,1991,560.00,0.00
6,BURUNDI,1992,569.00,0.00
7,CAMEROON,1950,,
7,CAMEROON,1951,,
7,CAMEROON,1952,,
7,CAMEROON,1953,,
7,CAMEROON,1954,,
7,CAMEROON,1955,,
7,CAMEROON,1956,,
7,CAMEROON,1957,,
7,CAMEROON,1958,,
7,CAMEROON,1959,,
7,CAMEROON,1960,641.00,0.00
7,CAMEROON,1961,660.00,0.00
7,CAMEROON,1962,698.00,0.00
7,CAMEROON,1963,677.00,0.00
7,CAMEROON,1964,657.00,0.00
7,CAMEROON,1965,673.00,0.00
7,CAMEROON,1966,676.00,0.00
7,CAMEROON,1967,740.00,0.00
7,CAMEROON,1968,785.00,0.00
7,CAMEROON,1969,808.00,0.00
7,CAMEROON,1970,804.00,0.00
7,CAMEROON,1971,811.00,0.00
7,CAMEROON,1972,815.00,0.00
7,CAMEROON,1973,830.00,0.00
7,CAMEROON,1974,902.00,0.00
7,CAMEROON,1975,859.00,0.00
7,CAMEROON,1976,888.00,0.00
7,CAMEROON,1977,894.00,0.00
7,CAMEROON,1978,972.00,0.00
7,CAMEROON,1979,1072.00,0.00
7,CAMEROON,1980,1194.00,0.00
7,CAMEROON,1981,1294.00,0.00
7,CAMEROON,1982,1281.00,0.00
7,CAMEROON,1983,1342.00,0.00
7,CAMEROON,1984,1403.00,0.00
7,CAMEROON,1985,1487.00,0.00
7,CAMEROON,1986,1499.00,0.00
7,CAMEROON,1987,1439.00,0.00
7,CAMEROON,1988,1330.00,0.00
7,CAMEROON,1989,1361.00,0.00
7,CAMEROON,1990,1226.00,0.00
7,CAMEROON,1991,1110.00,0.00
7,CAMEROON,1992,1029.00,0.00
8,CAPE VERDE IS.,1950,,
8,CAPE VERDE IS.,1951,,
8,CAPE VERDE IS.,1952,
8,CAPE VERDE IS.,1953,
8,CAPE VERDE IS.,1954,
8,CAPE VERDE IS.,1955,
8,CAPE VERDE IS.,1956,
8,CAPE VERDE IS.,1957,
8,CAPE VERDE IS.,1958,
8,CAPE VERDE IS.,1959,
8,CAPE VERDE IS.,1960,469.00
8,CAPE VERDE IS.,1961,495.00
8,CAPE VERDE IS.,1962,442.00
8,CAPE VERDE IS.,1963,411.00
8,CAPE VERDE IS.,1964,429.00
8,CAPE VERDE IS.,1965,427.00
8,CAPE VERDE IS.,1966,476.00
8,CAPE VERDE IS.,1967,589.00
8,CAPE VERDE IS.,1968,588.00
8,CAPE VERDE IS.,1969,598.00
8,CAPE VERDE IS.,1970,634.00
8,CAPE VERDE IS.,1971,559.00
8,CAPE VERDE IS.,1972,543.00
8,CAPE VERDE IS.,1973,531.00
8,CAPE VERDE IS.,1974,464.00
8,CAPE VERDE IS.,1975,483.00
8,CAPE VERDE IS.,1976,547.00
8,CAPE VERDE IS.,1977,606.00
8,CAPE VERDE IS.,1978,670.00
8,CAPE VERDE IS.,1979,712.00
8,CAPE VERDE IS.,1980,934.00
8,CAPE VERDE IS.,1981,892.00
8,CAPE VERDE IS.,1982,899.00
8,CAPE VERDE IS.,1983,957.00
8,CAPE VERDE IS.,1984,1004.00
8,CAPE VERDE IS.,1985,1052.00
8,CAPE VERDE IS.,1986,1030.00
8,CAPE VERDE IS.,1987,995.00
8,CAPE VERDE IS.,1988,1021.00
8,CAPE VERDE IS.,1989,1050.00
8,CAPE VERDE IS.,1990,1058.00
8,CAPE VERDE IS.,1991,1039.00
8,CAPE VERDE IS.,1992,1085.00
9,CENTRAL AFR.R.,1950,
9,CENTRAL AFR.R.,1951,
9,CENTRAL AFR.R.,1952,
9,CENTRAL AFR.R.,1953,
9,CENTRAL AFR.R.,1954,
9,CENTRAL AFR.R.,1955,
9,CENTRAL AFR.R.,1956,
9,CENTRAL AFR.R.,1957,,
9,CENTRAL AFR.R.,1958,,
9,CENTRAL AFR.R.,1959,,
9,CENTRAL AFR.R.,1960,704.00,0.00
9,CENTRAL AFR.R.,1961,722.00,0.00
9,CENTRAL AFR.R.,1962,691.00,0.00
9,CENTRAL AFR.R.,1963,666.00,0.00
9,CENTRAL AFR.R.,1964,683.00,0.00
9,CENTRAL AFR.R.,1965,663.00,0.00
9,CENTRAL AFR.R.,1966,656.00,0.00
9,CENTRAL AFR.R.,1967,673.00,0.00
9,CENTRAL AFR.R.,1968,698.00,0.00
9,CENTRAL AFR.R.,1969,720.00,0.00
9,CENTRAL AFR.R.,1970,747.00,0.00
9,CENTRAL AFR.R.,1971,731.00,0.00
9,CENTRAL AFR.R.,1972,734.00,0.00
9,CENTRAL AFR.R.,1973,731.00,0.00
9,CENTRAL AFR.R.,1974,721.00,0.00
9,CENTRAL AFR.R.,1975,711.00,0.00
9,CENTRAL AFR.R.,1976,733.00,0.00
9,CENTRAL AFR.R.,1977,763.00,0.00
9,CENTRAL AFR.R.,1978,776.00,0.00
9,CENTRAL AFR.R.,1979,738.00,0.00
9,CENTRAL AFR.R.,1980,706.00,0.00
9,CENTRAL AFR.R.,1981,648.00,0.00
9,CENTRAL AFR.R.,1982,670.00,0.00
9,CENTRAL AFR.R.,1983,586.00,0.00
9,CENTRAL AFR.R.,1984,622.00,0.00
9,CENTRAL AFR.R.,1985,630.00,0.00
9,CENTRAL AFR.R.,1986,618.00,0.00
9,CENTRAL AFR.R.,1987,585.00,0.00
9,CENTRAL AFR.R.,1988,588.00,0.00
9,CENTRAL AFR.R.,1989,585.00,0.00
9,CENTRAL AFR.R.,1990,579.00,0.00
9,CENTRAL AFR.R.,1991,550.00,0.00
9,CENTRAL AFR.R.,1992,514.00,0.00
10,CHAD,1950,,
10,CHAD,1951,,
10,CHAD,1952,,
10,CHAD,1953,,
10,CHAD,1954,,
10,CHAD,1955,,
10,CHAD,1956,,
10,CHAD,1957,,
10,CHAD,1958,,
10,CHAD,1959,,
10,CHAD,1960,756.00,0.00
10,CHAD,1961,754.00,0.00
10,CHAD,1962,805.00,0.00
10,CHAD,1963,766.00,0.00
10,CHAD,1964,744.00,0.00
10,CHAD,1965,736.00,0.00
10,CHAD,1966,767.00,0.00
10,CHAD,1967,743.00,0.00
10,CHAD,1968,646.00,0.00
10,CHAD,1969,763.00,0.00
10,CHAD,1970,660.00,0.00
10,CHAD,1971,650.00,0.00
10,CHAD,1972,662.00,0.00
10,CHAD,1973,722.00,0.00
10,CHAD,1974,576.00,0.00
10,CHAD,1975,592.00,0.00
10,CHAD,1976,637.00,0.00
10,CHAD,1977,648.00,0.00
10,CHAD,1978,628.00,0.00
10,CHAD,1979,574.00,0.00
10,CHAD,1980,528.00,0.00
10,CHAD,1981,469.00,0.00
10,CHAD,1982,370.00,0.00
10,CHAD,1983,300.00,0.00
10,CHAD,1984,310.00,0.00
10,CHAD,1985,409.00,0.00
10,CHAD,1986,387.00,0.00
10,CHAD,1987,368.00,0.00
10,CHAD,1988,400.00,0.00
10,CHAD,1989,412.00,0.00
10,CHAD,1990,399.00,0.00
10,CHAD,1991,427.00,0.00
10,CHAD,1992,408.00,0.00
11,COMOROS,1950,,
11,COMOROS,1951,
11,COMOROS,1952,
11,COMOROS,1953,
11,COMOROS,1954,
11,COMOROS,1955,
11,COMOROS,1956,
11,COMOROS,1957,
11,COMOROS,1958,
11,COMOROS,1959,
11,COMOROS,1960,543.00
11,COMOROS,1961,545.00
11,COMOROS,1962,564.00
11,COMOROS,1963,647.00
11,COMOROS,1964,679.00
11,COMOROS,1965,646.00
11,COMOROS,1966,688.00
11,COMOROS,1967,734.00
11,COMOROS,1968,721.00
11,COMOROS,1969,711.00
11,COMOROS,1970,693.00
11,COMOROS,1971,749.00
11,COMOROS,1972,730.00
11,COMOROS,1973,743.00
11,COMOROS,1974,849.00
11,COMOROS,1975,721.00
11,COMOROS,1976,557.00
11,COMOROS,1977,556.00
11,COMOROS,1978,588.00
11,COMOROS,1979,611.00
11,COMOROS,1980,631.00
11,COMOROS,1981,637.00
11,COMOROS,1982,650.00
11,COMOROS,1983,657.00
11,COMOROS,1984,660.00
11,COMOROS,1985,643.00
11,COMOROS,1986,628.00
11,COMOROS,1987,615.00
11,COMOROS,1988,609.00
11,COMOROS,1989,583.00
11,COMOROS,1990,564.00
11,COMOROS,1991,544.00
11,COMOROS,1992,527.00
12,CONGO,1950,
12,CONGO,1951,
12,CONGO,1952,
12,CONGO,1953,
12,CONGO,1954,
12,CONGO,1955,
12,CONGO,1956,,
12,CONGO,1957,,
12,CONGO,1958,,
12,CONGO,1959,,
12,CONGO,1960,1123.00,0.00
12,CONGO,1961,1124.00,0.00
12,CONGO,1962,1127.00,0.00
12,CONGO,1963,1069.00,0.00
12,CONGO,1964,1062.00,0.00
12,CONGO,1965,1084.00,0.00
12,CONGO,1966,1120.00,0.00
12,CONGO,1967,1240.00,0.00
12,CONGO,1968,1230.00,0.00
12,CONGO,1969,1404.00,0.00
12,CONGO,1970,1670.00,0.00
12,CONGO,1971,1680.00,0.00
12,CONGO,1972,1700.00,0.00
12,CONGO,1973,1710.00,0.00
12,CONGO,1974,1712.00,0.00
12,CONGO,1975,1726.00,0.00
12,CONGO,1976,1795.00,0.00
12,CONGO,1977,1639.00,0.00
12,CONGO,1978,1742.00,0.00
12,CONGO,1979,1725.00,0.00
12,CONGO,1980,1931.00,0.00
12,CONGO,1981,2044.00,0.00
12,CONGO,1982,2529.00,0.00
12,CONGO,1983,2550.00,0.00
12,CONGO,1984,2723.00,0.00
12,CONGO,1985,2697.00,0.00
12,CONGO,1986,2526.00,0.00
12,CONGO,1987,2384.00,0.00
12,CONGO,1988,2340.00,0.00
12,CONGO,1989,2317.00,0.00
12,CONGO,1990,2211.00,0.00
12,CONGO,1991,2405.00,0.00
12,CONGO,1992,2240.00,0.00
13,DJIBOUTI,1950,,
13,DJIBOUTI,1951,,
13,DJIBOUTI,1952,,
13,DJIBOUTI,1953,,
13,DJIBOUTI,1954,,
13,DJIBOUTI,1955,,
13,DJIBOUTI,1956,,
13,DJIBOUTI,1957,,
13,DJIBOUTI,1958,,
13,DJIBOUTI,1959,,
13,DJIBOUTI,1960,,
13,DJIBOUTI,1961,
13,DJIBOUTI,1962,
13,DJIBOUTI,1963,
13,DJIBOUTI,1964,
13,DJIBOUTI,1965,
13,DJIBOUTI,1966,
13,DJIBOUTI,1967,
13,DJIBOUTI,1968,
13,DJIBOUTI,1969,
13,DJIBOUTI,1970,1898.00
13,DJIBOUTI,1971,1764.00
13,DJIBOUTI,1972,1728.00
13,DJIBOUTI,1973,1703.00
13,DJIBOUTI,1974,1700.00
13,DJIBOUTI,1975,1683.00
13,DJIBOUTI,1976,1644.00
13,DJIBOUTI,1977,1515.00
13,DJIBOUTI,1978,1512.00
13,DJIBOUTI,1979,1538.00
13,DJIBOUTI,1980,1536.00
13,DJIBOUTI,1981,1364.00
13,DJIBOUTI,1982,1362.00
13,DJIBOUTI,1983,1156.00
13,DJIBOUTI,1984,1179.00
13,DJIBOUTI,1985,1137.00
13,DJIBOUTI,1986,991.00
13,DJIBOUTI,1987,1203.00
13,DJIBOUTI,1988,
13,DJIBOUTI,1989,
13,DJIBOUTI,1990,
13,DJIBOUTI,1991,
13,DJIBOUTI,1992,
14,EGYPT,1950,751.00,
14,EGYPT,1951,754.00,
14,EGYPT,1952,714.00,
14,EGYPT,1953,692.00,0.00
14,EGYPT,1954,709.00,0.00
14,EGYPT,1955,717.00,0.00
14,EGYPT,1956,717.00,0.00
14,EGYPT,1957,743.00,0.00
14,EGYPT,1958,747.00,0.00
14,EGYPT,1959,780.00,0.00
14,EGYPT,1960,809.00,0.00
14,EGYPT,1961,815.00,0.00
14,EGYPT,1962,862.00,0.00
14,EGYPT,1963,908.00,0.00
14,EGYPT,1964,1017.00,0.00
14,EGYPT,1965,1024.00,0.00
14,EGYPT,1966,1015.00,0.00
14,EGYPT,1967,1013.00,0.00
14,EGYPT,1968,1072.00,0.00
14,EGYPT,1969,1111.00,0.00
14,EGYPT,1970,1163.00,0.00
14,EGYPT,1971,1206.00,0.00
14,EGYPT,1972,1204.00,0.00
14,EGYPT,1973,1182.00,0.00
14,EGYPT,1974,1175.00,0.00
14,EGYPT,1975,1293.00,0.00
14,EGYPT,1976,1371.00,0.00
14,EGYPT,1977,1406.00,0.00
14,EGYPT,1978,1465.00,0.00
14,EGYPT,1979,1525.00,0.00
14,EGYPT,1980,1645.00,0.00
14,EGYPT,1981,1722.00,0.00
14,EGYPT,1982,1732.00,0.00
14,EGYPT,1983,1808.00,0.00
14,EGYPT,1984,1908.00,0.00
14,EGYPT,1985,1953.00,0.00
14,EGYPT,1986,1927.00,0.00
14,EGYPT,1987,1890.00,0.00
14,EGYPT,1988,1896.00,0.00
14,EGYPT,1989,1906.00,0.00
14,EGYPT,1990,1912.00,0.00
14,EGYPT,1991,1913.00,0.00
14,EGYPT,1992,1869.00,0.00
15,ETHIOPIA,1950,221.00,0.00
15,ETHIOPIA,1951,245.00,0.00
15,ETHIOPIA,1952,245.00,0.00
15,ETHIOPIA,1953,255.00,0.00
15,ETHIOPIA,1954,254.00,0.00
15,ETHIOPIA,1955,251.00,0.00
15,ETHIOPIA,1956,257.00,0.00
15,ETHIOPIA,1957,248.00,0.00
15,ETHIOPIA,1958,247.00,0.00
15,ETHIOPIA,1959,252.00,0.00
15,ETHIOPIA,1960,257.00,0.00
15,ETHIOPIA,1961,261.00,0.00
15,ETHIOPIA,1962,265.00,0.00
15,ETHIOPIA,1963,268.00,0.00
15,ETHIOPIA,1964,277.00,0.00
15,ETHIOPIA,1965,290.00,0.00
15,ETHIOPIA,1966,294.00,0.00
15,ETHIOPIA,1967,290.00,0.00
15,ETHIOPIA,1968,296.00,0.00
15,ETHIOPIA,1969,302.00,0.00
15,ETHIOPIA,1970,296.00,0.00
15,ETHIOPIA,1971,300.00,0.00
15,ETHIOPIA,1972,308.00,0.00
15,ETHIOPIA,1973,306.00,0.00
15,ETHIOPIA,1974,300.00,0.00
15,ETHIOPIA,1975,306.00,0.00
15,ETHIOPIA,1976,302.00,0.00
15,ETHIOPIA,1977,306.00,0.00
15,ETHIOPIA,1978,315.00,0.00
15,ETHIOPIA,1979,316.00,0.00
15,ETHIOPIA,1980,322.00,0.00
15,ETHIOPIA,1981,322.00,0.00
15,ETHIOPIA,1982,322.00,0.00
15,ETHIOPIA,1983,332.00,0.00
15,ETHIOPIA,1984,318.00,0.00
15,ETHIOPIA,1985,299.00,0.00
15,ETHIOPIA,1986,312.00,0.00
15,ETHIOPIA,1987,,0.00
15,ETHIOPIA,1988,,0.00
15,ETHIOPIA,1989,,0.00
15,ETHIOPIA,1990,,0.00
15,ETHIOPIA,1991,,0.00
15,ETHIOPIA,1992,,0.00
16,GABON,1950,,
16,GABON,1951,,
16,GABON,1952,,
16,GABON,1953,,
16,GABON,1954,,
16,GABON,1955,,
16,GABON,1956,,
16,GABON,1957,,
16,GABON,1958,,
16,GABON,1959,,
16,GABON,1960,1789.00,0.00
16,GABON,1961,1979.00,0.00
16,GABON,1962,2112.00,0.00
16,GABON,1963,2373.00,0.00
16,GABON,1964,2462.00,0.00
16,GABON,1965,2587.00,0.00
16,GABON,1966,2690.00,0.00
16,GABON,1967,2726.00,0.00
16,GABON,1968,3311.00,0.00
16,GABON,1969,3654.00,0.00
16,GABON,1970,3704.00,0.00
16,GABON,1971,3868.00,0.00
16,GABON,1972,4047.00,0.00
16,GABON,1973,4179.00,0.00
16,GABON,1974,5030.00,0.00
16,GABON,1975,5690.00,0.00
16,GABON,1976,6965.00,0.00
16,GABON,1977,6170.00,0.00
16,GABON,1978,5408.00,0.00
16,GABON,1979,4842.00,0.00
16,GABON,1980,4797.00,0.00
16,GABON,1981,4504.00,0.00
16,GABON,1982,4226.00,0.00
16,GABON,1983,4301.00,0.00
16,GABON,1984,4458.00,0.00
16,GABON,1985,4072.00,0.00
16,GABON,1986,4030.00,0.00
16,GABON,1987,3432.00,0.00
16,GABON,1988,3283.00,0.00
16,GABON,1989,3833.00,0.00
16,GABON,1990,3958.00,0.00
16,GABON,1991,3696.00,0.00
16,GABON,1992,3622.00,0.00
17,GAMBIA,1950,,
17,GAMBIA,1951,,
17,GAMBIA,1952,,
17,GAMBIA,1953,,
17,GAMBIA,1954,,
17,GAMBIA,1955,,
17,GAMBIA,1956,,
17,GAMBIA,1957,,
17,GAMBIA,1958,,
17,GAMBIA,1959,,
17,GAMBIA,1960,602.00,
17,GAMBIA,1961,563.00,
17,GAMBIA,1962,537.00,
17,GAMBIA,1963,638.00,
17,GAMBIA,1964,611.00,
17,GAMBIA,1965,724.00,0.00
17,GAMBIA,1966,747.00,0.00
17,GAMBIA,1967,725.00,0.00
17,GAMBIA,1968,728.00,0.00
17,GAMBIA,1969,727.00,0.00
17,GAMBIA,1970,722.00,0.00
17,GAMBIA,1971,865.00,0.00
17,GAMBIA,1972,856.00,0.00
17,GAMBIA,1973,869.00,0.00
17,GAMBIA,1974,881.00,0.00
17,GAMBIA,1975,799.00,0.00
17,GAMBIA,1976,982.00,0.00
17,GAMBIA,1977,1002.00,0.00
17,GAMBIA,1978,1179.00,0.00
17,GAMBIA,1979,1031.00,0.00
17,GAMBIA,1980,1017.00,0.00
17,GAMBIA,1981,889.00,0.00
17,GAMBIA,1982,872.00,0.00
17,GAMBIA,1983,721.00,0.00
17,GAMBIA,1984,801.00,0.00
17,GAMBIA,1985,769.00,0.00
17,GAMBIA,1986,843.00,1.00
17,GAMBIA,1987,853.00,1.00
17,GAMBIA,1988,804.00,1.00
17,GAMBIA,1989,808.00,1.00
17,GAMBIA,1990,799.00,1.00
17,GAMBIA,1991,,1.00
17,GAMBIA,1992,,1.00
18,GHANA,1950,,
18,GHANA,1951,,
18,GHANA,1952,,
18,GHANA,1953,,
18,GHANA,1954,,
18,GHANA,1955,872.00,
18,GHANA,1956,869.00,
18,GHANA,1957,888.00,0.00
18,GHANA,1958,824.00,0.00
18,GHANA,1959,882.00,0.00
18,GHANA,1960,894.00,0.00
18,GHANA,1961,939.00,0.00
18,GHANA,1962,930.00,0.00
18,GHANA,1963,934.00,0.00
18,GHANA,1964,904.00,0.00
18,GHANA,1965,883.00,0.00
18,GHANA,1966,862.00,0.00
18,GHANA,1967,902.00,0.00
18,GHANA,1968,911.00,0.00
