countrycode,country,currency_unit,year,rgdpe,rgdpo,pop,emp,avh,hc,cgdpe,cgdpo,ck,ctfp,rgdpna,rkna,rtfpna,labsh,xr,pl_gdpe,pl_gdpo,i_cig,i_xm,i_xr,i_outlier,cor_exp,statcap,csh_c,csh_i,csh_g,csh_x,csh_m,csh_r,pl_c,pl_i,pl_g,pl_x,pl_m,pl_k,pl_gdpo_old,nom_p,nom_pp,pl_gdpe_old,nominal_gdpe,nominal_gdpo,nominal_gdp
AGO,Angola,Kwanza,1975,15928.367,26826.71,6.6374189999999995,2.9380546,,,16177.773,15436.139,42230.344,,22478.1858851734,52580.24,,,2.55521808333333e-8,0.19352776,0.20282586,0,0,0,0,,,0.28120768,0.33034983,0.4261122,0.23661396,-0.09277199,-0.18151169,0.3366424223352868,0.1489805389779496,0.13361682021541157,0.25636387,0.23537308,0.22724807,0.6080836,0.3337668,0.3337668,0.5798293,9.380347e9,9.386463e9,9.386463e9
AGO,Angola,Kwanza,1976,15096.085,25893.566,6.80885,3.0409925,,,15267.772,14874.108,43977.01,,21298.88519893834,54709.21,,,2.93836233333333e-8,0.19615604,0.20134756,0,0,0,0,,,0.2755784,0.32206824,0.4187067,0.12673429,-0.06523148,-0.07785618,0.34071724086941363,0.15222191298274804,0.13480480140875192,0.26419058,0.24255352,0.22921559,0.57097596,0.35279173,0.35279173,0.5560109,8.489048e9,8.492758e9,8.492758e9
AGO,Angola,Kwanza,1977,15285.222,26770.686,6.989987999999999,3.0690691,,,15411.213,15325.082,46820.523,,21456.12528829706,56888.43,,,2.9918e-8,0.21254785,0.21374242,0,0,0,0,,,0.26912838,0.31839916,0.41865706,0.10314589,-0.13249026,0.023159781,0.36902858918201203,0.16766142651651716,0.14609342607621986,0.29478166,0.26776078,0.2430716,0.5700061,0.37612498,0.37612498,0.565099,8.708861e9,8.73539e9,8.73539e9
AGO,Angola,Kwanza,1978,14475.388,24679.973,7.185187999999999,3.157042,,,14664.183,14064.736,49882.94,,20319.708257091926,58748.016,,,2.9918e-8,0.24844833,0.25903735,0,0,0,0,,,0.27639508,0.3271123,0.44226015,0.1955325,-0.12288314,-0.1184169,0.4372508545834438,0.19559710938708152,0.16954497971712987,0.35547757,0.32237855,0.27669978,0.6454726,0.40297973,0.40297973,0.6165281,9.040881e9,9.078402e9,9.078402e9
AGO,Angola,Kwanza,1979,14658.44,23886.287,7.400231,3.2410758,,,14821.087,14523.997,52604.73,,20384.033759697,60538.67,,,2.9918e-8,0.27288067,0.27846244,0,0,0,0,,,0.26185828,0.3143131,0.4432548,0.21285045,-0.16525637,-0.067020245,0.4832447023167428,0.21670377858641074,0.1884406684570402,0.35635298,0.3443529,0.29919982,0.64040405,0.43845466,0.43845466,0.62236917,9.224188e9,9.301226e9,9.301226e9
AGO,Angola,Kwanza,1980,14440.202,20832.707,7.63842,3.283124,,,14697.791,14462.312,54559.26,,20940.967931351377,62148.492,,,2.9918e-8,0.36671263,0.37268355,0,0,0,0,,,0.2888128,0.30466223,0.37983772,0.31358778,-0.20245716,-0.08444335,0.6215844668106114,0.27937609767923055,0.24297002802389803,0.419311,0.41620004,0.3841903,0.78510034,0.48233196,0.48233196,0.760291,1.1174599e10,1.1354366e10,1.1354366e10
AGO,Angola,Kwanza,1981,14288.297,20149.566,7.9033679999999995,3.4483266,,,14601.19,14210.405,57011.24,,20019.565087035604,63814.375,,,2.9918e-8,0.3454847,0.35498554,0,0,0,0,,,0.29177475,0.3148753,0.41107333,0.3017385,-0.2314076,-0.0880543,0.564946533429544,0.27927455958562647,0.24042930755616365,0.437159,0.4203494,0.3775153,0.683433,0.5256071,0.5256071,0.657306,9.59745e9,9.71186e9,9.71186e9
AGO,Angola,Kwanza,1982,14408.002,20804.697,8.191773999999999,3.625311,,,14797.722,14422.113,59154.48,,20019.565087035604,65964.22,,,2.9918e-8,0.34089628,0.34977454,0,0,0,0,,,0.26458302,0.35406798,0.461285,0.21460299,-0.13627504,-0.15826394,0.6031140193676604,0.27763316957707307,0.2390526997002521,0.44711637,0.43270895,0.37610036,0.63407815,0.5560174,0.5560174,0.6131036,9.072537e9,9.144747e9,9.144747e9
AGO,Angola,Kwanza,1983,14831.9,21778.617,8.491681999999999,3.769478,,,15133.934,14712.258,57887.73,,20860.387106626844,67510.695,,,2.9918e-8,0.34736747,0.35732353,0,0,0,0,,,0.29400846,0.29470927,0.4557714,0.22188622,-0.095406376,-0.17096893,0.5785745427651976,0.2828253681543941,0.23995461365181447,0.44293442,0.44743136,0.39334008,0.6227512,0.57610327,0.57610327,0.6029604,9.125163e9,9.162076e9,9.162076e9
AGO,Angola,Kwanza,1984,16465.984,23928.041,8.786652,3.9140463,,,16630.967,16005.182,58101.844,,22112.010784518734,69254.09,,,2.9918e-8,0.3350696,0.34817046,0,1,0,0,,,0.22942676,0.28648072,0.5012214,0.27755663,-0.11282026,-0.18186526,0.597636612656377,0.2827175956534601,0.2448059849744151,0.43593988,0.4459872,0.40200922,0.5844863,0.5961006,0.5961006,0.5621024,9.348306e9,9.354809e9,9.354809e9
AGO,Angola,Kwanza,1985,16145.958,24720.068,9.065562,4.079772,,,16459.508,17088.988,58107.97,,22885.931049110404,71058.875,,,2.9918e-8,0.41711044,0.40174598,0,1,0,0,,,0.27565655,0.21446554,0.432326,0.3298263,-0.0883045,-0.16396987,0.6845734908306386,0.333535658801196,0.28803184023820355,0.37029123,0.44475994,0.3659884,0.6543681,0.609409,0.609409,0.68445075,1.1265722e10,1.1182489e10,1.1182489e10
AGO,Angola,Kwanza,1986,16276.395,25838.336,9.32255,4.2134466,,,16640.354,16944.512,60114.977,,23612.826282772246,72301.37,,,2.9918e-8,0.38718995,0.38023978,0,1,0,0,,,0.30497915,0.22014858,0.4843618,0.21155931,-0.11809745,-0.10295138,0.6092507705254924,0.3133595673325034,0.28092583475438043,0.4086687,0.4905768,0.40160763,0.6055068,0.6239709,0.6239709,0.62052566,1.0325766e10,1.0260017e10,1.0260017e10
AGO,Angola,Kwanza,1987,18705.408,29871.32,9.562795999999999,4.3445563,,,19136.705,19526.008,61350.082,,25265.812907128282,73918.96,,,2.9918e-8,0.3876954,0.37996563,0,1,0,0,,,0.2570148,0.21813056,0.439654,0.27086645,-0.08984135,-0.09582441,0.6207628844875333,0.3203002543670235,0.28488532473494854,0.4102578,0.5500019,0.41237378,0.5876969,0.6445315,0.6445315,0.60151505,1.1511015e10,1.1475375e10,1.1475375e10
AGO,Angola,Kwanza,1988,18192.775,29002.514,9.79968,4.4639826,,,18571.354,18552.598,62264.38,,26673.84517151422,74846.79,,,2.9918e-8,0.4313037,0.4317397,0,1,0,0,,,0.27054203,0.16972111,0.4900079,0.29817078,-0.1133765,-0.115065314,0.7255030605299609,0.36951396899745137,0.2902727504377326,0.487703,0.5753407,0.45853788,0.645117,0.66849136,0.66849136,0.64518964,1.1982045e10,1.1968596e10,1.1968596e10
AGO,Angola,Kwanza,1989,18624.404,28725.574,10.052567,4.612678,,,18933.686,18554.201,62526.164,,26777.19952043137,75253.27,,,2.9918e-8,0.49229774,0.5023666,0,1,0,0,,,0.29684007,0.15225145,0.4616556,0.30327547,-0.12185571,-0.0921669,0.815543262726408,0.4010862727287855,0.3145350549764504,0.56144017,0.5741349,0.4989824,0.7228985,0.69608426,0.69608426,0.70723873,1.3390636e10,1.3412805e10,1.3412805e10
AGO,Angola,Kwanza,1990,19628.227,30637.38,10.335052,4.789904,,,19417.773,19586.521,63069.844,,26658.13713171436,75879.59,,,2.9918e-8,0.53028107,0.52571243,0,1,0,0,,,0.28336155,0.14572664,0.4125823,0.3669779,-0.118030824,-0.09061762,0.8296932267086201,0.421082018117001,0.3632145793072051,0.54402137,0.6152166,0.5040678,0.72788846,0.7227717,0.7227717,0.73367715,1.4246377e10,1.4256803e10,1.4256803e10
AGO,Angola,Kwanza,1991,21623.76,34930.367,10.653514999999999,4.9584084,,,21303.742,21478.79,65386.527,,26922.415052264136,79911.12,,,5.50983333333333e-8,0.57114637,0.56649166,0,1,0,0,,,0.12654395,0.29645354,0.4365236,0.27471134,-0.12082815,-0.013404282,1.2579907063015499,0.31246740963584874,0.5477119062737003,0.5778645,0.6254602,0.39676118,0.75727266,0.7486237,0.7486237,0.7629285,1.6253232e10,1.62653e10,1.62653e10
AGO,Angola,Kwanza,1992,23706.28,40285.617,11.00291,5.1612306,,,23393.475,26925.604,70691.414,,25350.608881210625,87557.945,,,2.51416666666667e-7,0.597362,0.5189994,0,1,0,0,,,0.07357924,0.39039183,0.3356567,0.36309284,-0.13035862,-0.03236198,1.4274701746445149,0.3730812904776995,0.6762480162012356,0.386804,0.6314714,0.4904345,0.67757505,0.7694306,0.7694306,0.7763689,1.8161967e10,1.8244116e10,1.8244116e10
AGO,Angola,Kwanza,1993,17221.566,29468.697,11.371749999999999,5.4041424,,,16974.87,18486.994,75362.09,,19270.666530698825,92690.336,,,2.66016666666667e-6,0.5965544,0.5477599,0,1,0,0,,,0.18794537,0.44606572,0.25246534,0.3956583,-0.10302941,-0.17910539,1.0978680567137045,0.35356372806977354,0.6526819487557414,0.4511893,0.5967389,0.46423995,0.699759,0.7822588,0.7822588,0.7626049,1.2945118e10,1.2936441e10,1.2936441e10
AGO,Angola,Kwanza,1994,19534.979,32434.318,11.74296,5.5764637,,,18967.906,19475.648,80184.984,,19528.77079707611,97472.87,,,5.9515e-5,0.5494293,0.5351054,0,1,0,0,,,0.17947875,0.40246466,0.3000367,0.3140529,-0.095037244,-0.10099579,0.7598136042740982,0.3721419424394528,0.6613902227970619,0.52021426,0.6188284,0.46594802,0.66959304,0.79950017,0.79950017,0.687216,1.3035048e10,1.3040759e10,1.3040759e10
AGO,Angola,Kwanza,1995,22627.576,31159.406,12.105105,5.733259,,,21559.375,18226.988,86885.09,,22458.086416650636,103831.52,,,0.00275022958333333,0.23164533,0.27399638,0,1,0,0,,,0.19717076,0.51777446,0.39777982,0.38682288,-0.12652114,-0.37302682,0.3201484580547801,0.16086976662427982,0.2799020695640587,0.52596,0.67187643,0.19087332,0.3359014,0.81700003,0.81700003,0.2835316,6.1127644e9,6.1224714e9,6.1224714e9
AGO,Angola,Kwanza,1996,27494.111,35082.11,12.452725,5.861943,,,25708.096,20998.738,95950.18,,26949.70369997378,114448.26,,,0.128029166666667,0.2538423,0.31077117,0,1,0,0,,,0.2735717,0.64905334,0.14631474,0.42253873,-0.129658,-0.36182052,0.39602485562240103,0.18089513802244353,0.31159086526454616,0.55870223,0.64940786,0.20743963,0.37385842,0.83141994,0.83141994,0.30531177,7.848984e9,7.850555e9,7.850555e9
AGO,Angola,Kwanza,1997,27832.07,38945.69,12.792237,6.001604,,,26000.19,23433.143,102426.375,,28431.937403480708,121187.06,,,0.229040083333333,0.2941662,0.32639146,0,1,0,0,,,0.16987899,0.44216517,0.41003114,0.38224047,-0.14590344,-0.2584123,0.43384286915361736,0.2047034032220545,0.3327711357911817,0.5249892,0.62093884,0.22858913,0.3857553,0.84786505,0.84786505,0.34694934,9.020749e9,9.039459e9,9.039459e9
AGO,Angola,Kwanza,1998,25276.127,37213.56,13.138264999999999,6.141776,,,23445.043,22178.467,113123.734,,28431.937403480708,131807.0,,,0.3928235175,0.27489996,0.29059908,0,1,0,0,,,0.36204246,0.6314974,0.23189193,0.3774002,-0.14163053,-0.46120146,0.4465544938441753,0.17636950864943804,0.2752255426210574,0.45280305,0.58698726,0.18969347,0.33961073,0.85792595,0.85792595,0.32042387,7.512352e9,7.532045e9,7.532045e9
AGO,Angola,Kwanza,1999,30871.406,39231.055,13.511574999999999,6.305586,,,28798.021,24494.473,121674.17,,29353.075218031376,139666.73,,,2.790706166666666,0.21141236,0.2485564,0,1,0,0,,26.666666666666668,0.1994997,0.48122877,0.46987462,0.44023064,-0.12555635,-0.4652773,0.2503089488437891,0.1619486556672885,0.24555658278715903,0.4390609,0.5761214,0.17099227,0.2862772,0.8693464,0.8693464,0.24318542,7.003259e9,7.012209e9,7.012209e9
AGO,Angola,Kwanza,2000,24202.768,27521.373,13.926373,6.5252485,,,22993.926,22148.094,123261.11,,30237.212203286595,139983.39,,,10.04054416666667,0.38525274,0.3999655,0,1,0,0,,,0.24689227,0.24741687,0.391972,0.84144264,-0.11880434,-0.60891944,0.6403970829132409,0.18925277610886718,0.3482616559068082,0.43653846,0.54923975,0.20214617,0.45091057,0.8827083,0.8827083,0.43644398,1.003556e10,9.98681e9,9.98681e9
AGO,Angola,Kwanza,2001,23318.412,28733.623,14.388243999999998,6.792869,,,22320.588,21895.62,125226.42,,31186.660666465705,139910.52,,,22.05786166666667,0.42433912,0.43257508,0,1,0,0,,,0.44538388,0.23155622,0.33798334,0.5750707,-0.26967663,-0.32031748,0.5010631738607032,0.25032821207801836,0.442451367183289,0.49955374,0.54440755,0.2650336,0.4768362,0.8990898,0.8990898,0.47196522,1.0534541e10,1.0440624e10,1.0440624e10
AGO,Angola,Kwanza,2002,28083.854,35847.367,14.890474,7.0321817,,,27085.146,27204.137,126920.45,,35718.08246129691,140077.92,,,43.53020666666667,0.42206663,0.42022052,0,1,0,0,,,0.34454924,0.2034387,0.3205962,0.5897028,-0.20332308,-0.2549638,0.4834589702029516,0.25964439776368287,0.4591547196041404,0.45779714,0.5370914,0.26020902,0.45578152,0.9110893,0.9110893,0.46325496,1.2547328e10,1.2399143e10,1.2399143e10
AGO,Angola,Kwanza,2003,28957.64,38053.855,15.419943,7.2933207,,,28182.676,29768.941,129548.766,,36896.779182520404,140568.4,,,74.60630083333334,0.49520734,0.46881977,0,1,0,0,,,0.38595974,0.19004345,0.30335718,0.59541374,-0.24889882,-0.22587526,0.5184418034419496,0.3376271492722657,0.5643652021981422,0.483037,0.5960576,0.34650537,0.49799502,0.93230075,0.93230075,0.531167,1.4969706e10,1.4824785e10,1.4824785e10
AGO,Angola,Kwanza,2004,31941.357,41595.203,15.95746,7.5201993,,,31321.717,34932.348,133767.22,,41029.21845097163,139993.34,,,83.5413625,0.6313584,0.5661007,0,1,0,0,,40.55555555555555,0.3446861,0.12805855,0.2681231,0.6493989,-0.2982043,-0.09206241,0.6548411973014361,0.4353678253553951,0.6947771770154549,0.5249535,0.6386224,0.42595366,0.58488995,0.95921636,0.95921636,0.6582023,2.0616026e10,2.043158e10,2.043158e10
AGO,Angola,Kwanza,2005,39760.824,49440.207,16.489020999999997,7.7381887,,,39760.824,49440.207,139882.3,,49440.20823340964,139882.3,,,87.15914166666667,0.8252006,0.6636431,1,1,0,0,0.3855102129975801,45.0,0.24304718,0.09530447,0.20497541,0.77582586,-0.23552638,-0.083626516,0.8457953902471774,0.6056785936824143,0.9028484637149552,0.55008566,0.66227466,0.56015646,0.6636431,0.97957397,0.97957397,0.84240764,3.349482e10,3.2810654e10,3.2810654e10
AGO,Angola,Kwanza,2006,49597.543,55753.13,17.010365999999998,7.9740396,,,49356.082,60808.375,150248.3,,58636.08696483201,143114.02,,,80.36807205555556,0.8466939,0.6872325,0,1,0,0,,43.333333333333336,0.1907005,0.12775692,0.16194671,0.8260524,-0.2465364,-0.059920166,0.8657669492694589,0.657983369638784,0.9731048210816352,0.60064864,0.7078505,0.5710131,0.66575664,1.0190394,1.0190394,0.8308745,4.100871e10,4.048358e10,4.048358e10
AGO,Angola,Kwanza,2007,58131.746,68241.29,17.525367,8.188814,,,57360.19,73423.15,158758.67,,72233.55958043213,149917.6,,,76.70614275,1.0538474,0.82329476,0,1,0,0,,40.0,0.22253649,0.15303707,0.1678152,0.79811466,-0.2193888,-0.122114636,1.2539903995879425,0.7381908990711905,1.076300901930161,0.6500716,0.76416624,0.61769897,0.77509594,1.0598792,1.0598792,0.994309,5.7033757e10,5.6909988e10,5.6909988e10
AGO,Angola,Kwanza,2008,67472.86,65919.88,18.037964,8.442277,,,66833.45,87666.76,169731.39,,82213.02793102576,159340.6,,,75.03335416666667,1.2595202,0.9602052,0,0,0,0,,40.0,0.22015618,0.16356951,0.18734081,0.9529472,-0.24850234,-0.27551135,1.4186324674669177,0.938360553275274,1.352945543359217,0.7748908,0.9374039,0.77764577,0.8845204,1.0891174,1.0891174,1.1564595,7.729018e10,7.754304e10,7.754304e10
AGO,Angola,Kwanza,2009,59256.637,80349.85,18.555115,8.762991,,,58704.58,71528.62,176112.64,,84177.91929856694,169626.39,,,79.3281666666667,1.2859715,1.0554156,0,0,0,0,,43.333333333333336,0.37828836,0.21648157,0.23005408,0.70368737,-0.23262472,-0.29588667,1.681747336378182,0.7866874917669234,1.10500712393432,0.82984275,1.1905487,0.6571905,0.9637753,1.0920544,1.0920544,1.1775709,6.912881e10,6.8937515e10,6.8937515e10
AGO,Angola,Kwanza,2010,76151.13,76282.02,19.081912,9.096216,,,75357.914,80902.2,183019.77,,87082.0575143738,179426.97,,,91.9057203405018,1.094948,1.0199106,0,0,0,0,,41.11111111111111,0.34681752,0.1949203,0.21139073,0.69504225,-0.21678376,-0.23138708,1.1954767455836754,0.8438841203712578,1.1615183434681973,0.9203341,0.9613411,0.70673186,0.91905946,1.1079046,1.1079046,0.9883054,7.4476634e10,7.4353934e10,7.4353934e10
AGO,Angola,Kwanza,2011,82680.945,65266.086,19.618432,9.411351,,,81697.44,84461.15,195332.23,,90455.03362264481,189136.44,,,93.7405,1.2770495,1.2352624,0,0,0,0,,43.888888888888886,0.33859825,0.18971996,0.20370288,0.7348439,-0.21837033,-0.24849468,1.294904912852434,1.048095314353772,1.4606080040362992,1.1947671,1.2390695,0.86828226,1.089962,1.131798,1.131798,1.1283369,9.218223e10,9.205944e10,9.205944e10
ALB,Albania,Lek,1950,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.14711514,0.14711514,,,,
ALB,Albania,Lek,1951,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.15851773,0.15851773,,,,
ALB,Albania,Lek,1952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.16074462,0.16074462,,,,
ALB,Albania,Lek,1953,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.16230953,0.16230953,,,,
ALB,Albania,Lek,1954,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.16391462,0.16391462,,,,
ALB,Albania,Lek,1955,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.16649814,0.16649814,,,,
ALB,Albania,Lek,1956,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.17234898,0.17234898,,,,
ALB,Albania,Lek,1957,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.17788753,0.17788753,,,,
ALB,Albania,Lek,1958,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1812383,0.1812383,,,,
ALB,Albania,Lek,1959,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.18357855,0.18357855,,,,
ALB,Albania,Lek,1960,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.18603186,0.18603186,,,,
ALB,Albania,Lek,1961,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.18790318,0.18790318,,,,
ALB,Albania,Lek,1962,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.19012278,0.19012278,,,,
ALB,Albania,Lek,1963,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1923803,0.1923803,,,,
ALB,Albania,Lek,1964,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.19541459,0.19541459,,,,
ALB,Albania,Lek,1965,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.19837736,0.19837736,,,,
ALB,Albania,Lek,1966,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.20375746,0.20375746,,,,
ALB,Albania,Lek,1967,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.20972022,0.20972022,,,,
ALB,Albania,Lek,1968,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.21816048,0.21816048,,,,
ALB,Albania,Lek,1969,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.22877465,0.22877465,,,,
ALB,Albania,Lek,1970,8003.447,7998.1826,2.135599,0.69094074,,2.0767286,7816.1035,7850.5654,14457.964,,6819.207269022607,21071.791,,,5.0,0.30030134,0.29898313,0,0,0,0,,,0.43432125,0.3837054,0.17586781,0.0018187256,-0.0034092478,0.007696038,0.38495273420817233,0.27382692188707225,0.1490086800306808,0.9155328,1.0121981,0.4220985,1.236753,0.24058214,0.24058214,1.248228,9.756279e9,9.709211e9,9.709211e9
ALB,Albania,Lek,1971,8324.033,8301.372,2.18865,0.71275073,,2.1053658,8141.7163,8160.576,16040.633,,7092.031262400912,23064.96,,,5.0,0.2965635,0.2958781,0,0,0,0,,,0.43171376,0.38645712,0.1777624,0.0028020618,-0.003396626,0.0046613067,0.3832739988080395,0.26899045495132773,0.14592242752175674,0.9241928,1.0151732,0.411933,1.1654366,0.25260025,0.25260025,1.1740428,9.558724e9,9.510634e9,9.510634e9
ALB,Albania,Lek,1972,8658.308,8649.002,2.2416229999999997,0.7351259,,2.134398,8479.194,8513.024,17698.248,,7376.698965132513,25083.201,,,5.0,0.29293922,0.29177514,0,0,0,0,,,0.4261228,0.38749295,0.18055111,0.0024180477,-0.0036789048,0.0070939525,0.3829436369885241,0.26444787425961563,0.14166502103026932,0.9237354,1.0217248,0.4014905,1.1018871,0.2636209,0.2636209,1.1112139,9.422199e9,9.380392e9,9.380392e9
ALB,Albania,Lek,1973,9004.773,8991.962,2.294578,0.75873315,,2.1638308,8818.034,8850.662,19451.459,,7673.088100298034,27133.69,,,5.0,0.28979158,0.28872323,0,0,0,0,,,0.42263234,0.390149,0.18199418,0.0041038133,-0.0051236,0.0062443377,0.38196254123949624,0.2602868922419741,0.13899985929741998,0.87967277,0.96947443,0.3909074,1.0334042,0.27883863,0.27883863,1.0392807,9.164413e9,9.146312e9,9.146312e9
