countrycode,country,currency_unit,year,rgdpe,rgdpo,pop,emp,avh,hc,cgdpe,cgdpo,ck,ctfp,rgdpna,rkna,rtfpna,labsh,xr,pl_gdpe,pl_gdpo,i_cig,i_xm,i_xr,i_outlier,cor_exp,statcap,csh_c,csh_i,csh_g,csh_x,csh_m,csh_r,pl_c,pl_i,pl_g,pl_x,pl_m,pl_k,phi_NR
ARG,Argentina,Argentine Peso,1980,94855.08,91524.28,28.13104,10.025977,1974.0,2.3856816,93167.18,90894.28,237737.89,0.4480675,251440.14665765507,1.0991151e6,1.0268897,0.508584,5.085087485176369e-8,0.8105314,0.83079946,1,0,1,0,0.5509004252846491,,0.7507224,0.19291541,0.09604918,0.1297605,-0.16718388,-0.0022635856,0.7029063108291956,1.087851990287094,1.0947314518577107,0.24564244,0.25058383,1.1867067,0.067559555
ARG,Argentina,Argentine Peso,1981,94354.93,92618.52,28.561560999999998,10.383871,1961.23,2.4121532,92729.516,91858.28,261768.61,0.427465,237819.76010862782,1.1293226e6,0.9361952,0.508584,9.567520835659332e-8,0.84243363,0.85042363,2,0,1,0,,,0.7433653,0.17377122,0.09694029,0.1344126,-0.14564246,-0.0028469,0.7426783907149073,1.1105298987386838,1.1268061757530339,0.34069535,0.32436517,1.1935992,0.07036814
ARG,Argentina,Argentine Peso,1982,95649.5,99883.91,29.00106,10.784701,1948.54,2.4389186,94312.22,98256.836,281474.12,0.44153678,230301.697282742,1.145752e6,0.87807214,0.508584,2.722716849691957e-7,0.8509827,0.8168192,2,0,1,0,,,0.69199145,0.1520424,0.091178104,0.1640992,-0.09786187,-0.0014492818,0.746413040202566,1.168770374250898,1.1146881363791357,0.4501362,0.5284309,1.2624881,0.06938802
ARG,Argentina,Argentine Peso,1983,104798.46,108402.695,29.447972999999998,10.839678,1935.94,2.4659808,103271.33,107018.82,290357.1,0.454896,239772.50369963903,1.1667581e6,0.89865845,0.508584,1.260594979422479e-6,0.8411216,0.811668,2,0,1,0,,,0.6933281,0.14830098,0.09127585,0.12785572,-0.061961677,0.0012010423,0.7426518755300485,1.1431057327114846,1.0984436564407793,0.47837493,0.56738853,1.271629,0.06462112
ARG,Argentina,Argentine Peso,1984,111629.2,114881.98,29.899742999999997,11.0683365,1923.41,2.4933434,109473.51,113404.03,307764.4,0.44334897,244581.13479262736,1.18851e6,0.89377445,0.508584,8.603169552604147e-6,0.8397791,0.81067276,2,1,1,0,,,0.69881135,0.14282683,0.09635031,0.13196026,-0.06815211,-0.0017966167,0.7486166744850469,1.1331447412600395,1.0660869710552578,0.42600396,0.46644855,1.2929826,0.061323732
ARG,Argentina,Argentine Peso,1985,107003.86,113272.58,30.354239999999997,11.240985,1910.97,2.5210094,105734.23,111817.52,330177.16,0.41024584,227567.85625458744,1.2067335e6,0.8143523,0.508584,6.01809e-5,0.83370256,0.78834593,2,1,0,0,,,0.6392232,0.14067686,0.11404038,0.17701352,-0.07360439,0.0026504428,0.7843503304081669,0.9856823807724777,0.9228552832168325,0.4241851,0.46342924,1.1505388,0.058040813
ARG,Argentina,Argentine Peso,1986,122514.49,127461.31,30.810983999999998,11.140219,1898.61,2.5461667,121389.27,123964.18,361727.03,0.4344887,243824.44665197248,1.2240431e6,0.8660337,0.508584,9.430316666666667e-5,0.8721724,0.8540562,2,1,0,0,,,0.7167222,0.14354229,0.10096669,0.11639496,-0.075898506,-0.0017276031,0.8065578862261673,1.0389500806501473,1.1008391290862147,0.47489783,0.5020303,1.1907578,0.03390745
ARG,Argentina,Argentine Peso,1987,131411.77,135104.36,31.269799,11.594476,1886.33,2.5677812,130256.445,131190.72,395305.16,0.42650798,249999.99825842236,1.2425842e6,0.8599916,0.508584,0.0002144298333333333,0.835359,0.8294099,2,1,0,0,,,0.72627103,0.16054718,0.10361503,0.091508165,-0.07941992,-0.002521457,0.7631035795443663,1.0421296074517794,1.0214374998198328,0.52979124,0.5583766,1.1957638,0.038497154
ARG,Argentina,Argentine Peso,1988,138863.22,143755.69,31.729129999999998,11.763831,1874.12,2.5850053,137490.03,140643.66,436591.7,0.42604363,245118.13928089425,1.2607848e6,0.8282221,0.508584,0.0008752604166666667,0.92290497,0.9022109,2,1,0,0,,,0.6864004,0.15999913,0.09934819,0.115367465,-0.06362322,0.002507965,0.8599580046131073,1.0857731949682674,1.0955107083795772,0.5629822,0.594704,1.2240388,0.03822973
ARG,Argentina,Argentine Peso,1989,136143.6,137555.39,32.187173,11.953716,1862.0,2.6023445,134573.83,134582.0,479142.12,0.38473883,227933.9956785178,1.2688172e6,0.75894743,0.508584,0.04233396083333334,0.5694261,0.5693915,2,1,0,0,,,0.65440434,0.14706251,0.13457268,0.12289789,-0.05283005,-0.006107315,0.5594762007660555,0.6254628750870559,0.5565733433415027,0.57832676,0.59079134,0.68678933,0.06692892
ARG,Argentina,Argentine Peso,1990,150296.94,158252.61,32.642441999999996,12.131018,1850.0,2.6198003,150032.88,155252.73,526947.06,0.41826648,224882.8338169471,1.272257e6,0.73969454,0.508584,0.4875890833333334,0.9421481,0.91047144,2,1,0,0,,,0.72030276,0.11951293,0.071880974,0.13226992,-0.042010333,-0.001956238,0.8446339426371007,1.1149440425665844,1.6320158621345253,0.6014785,0.62504154,1.1631594,0.04435339
ARG,Argentina,Argentine Peso,1991,179129.19,185560.23,33.093579,12.300651,1856.22,2.6289527,178777.89,181498.88,583590.1,0.46305797,248486.62197588116,1.282423e6,0.8069806,0.508584,0.9535544166666666,1.0611444,1.045236,2,1,0,0,,,0.77419376,0.13172406,0.06385947,0.10638243,-0.072120644,-0.0040390673,0.951651370541652,1.2124440690310092,2.076483211362414,0.6201967,0.63219064,1.2850567,0.030439185
ARG,Argentina,Argentine Peso,1992,211594.44,214679.3,33.540023,12.360495,1862.46,2.6381373,209636.53,209900.58,661381.9,0.4908142,274091.97231510933,1.3013968e6,0.87999386,0.508584,0.9906416666666666,1.0913107,1.0899378,2,1,0,0,,,0.7756756,0.15717266,0.0816381,0.10071648,-0.11092897,-0.0042738817,1.0094047532380734,1.2027279072241739,1.6550265203965904,0.5787455,0.63836247,1.3328339,0.027166199
ARG,Argentina,Argentine Peso,1993,243541.19,246616.77,33.982034999999996,12.328582,1868.72,2.647354,241524.86,239801.38,781168.7,0.5186803,291227.29732697166,1.3281754e6,0.9252716,0.508584,0.9989458333333334,0.98024935,0.98729455,2,1,0,0,,,0.74943024,0.1845689,0.09740663,0.0912262,-0.11402478,-0.00860716,0.9117172921096284,1.053145360504751,1.3693974413057775,0.5996364,0.6134193,1.1633184,0.027355822
ARG,Argentina,Argentine Peso,1994,285905.0,288442.84,34.420352,12.28699,1875.0,2.6566026,282081.03,280039.53,958234.44,0.5511682,308224.02206853824,1.3643394e6,0.96626514,0.49996832,0.9990083333333334,0.91355145,0.9202113,2,1,0,0,,,0.7217315,0.20622103,0.110305145,0.09092509,-0.12072291,-0.008459807,0.8915081251395938,0.8909192543057575,1.100094410499414,0.6220354,0.63835704,0.952862,0.026261646
ARG,Argentina,Argentine Peso,1995,316430.4,320582.53,34.85516,12.618377,1881.96,2.6658838,311376.28,311917.97,1.2148451e6,0.55024004,299454.26375969505,1.3863849e6,0.9176074,0.46285704,0.99975,0.8288892,0.8274497,2,1,0,0,,,0.66413575,0.19505785,0.14316848,0.10040796,-0.09540594,-0.007364118,0.8542013815493126,0.7848008005722888,0.7715375652714899,0.6693235,0.676157,0.82507277,0.031517852
ARG,Argentina,Argentine Peso,1996,412198.03,414441.28,35.287113,12.687691,1888.95,2.6706057,403685.62,403624.6,1.5964685e6,0.61879635,316004.1210515249,1.412149e6,0.95541006,0.4310733,0.9996624999999999,0.67439026,0.67449224,1,1,0,0,0.4869025692648086,,0.58254063,0.2204169,0.20368728,0.08734284,-0.08731847,-0.0066691483,0.7933990622478395,0.6005051404488887,0.41398180706956,0.6753792,0.6742037,0.63185984,0.039107725
ARG,Argentina,Argentine Peso,1997,420563.4,420021.16,35.714929,12.59156,1895.96,2.6753356,410660.88,408946.53,1.589396e6,0.6224857,341635.3986845164,1.448756e6,1.020243,0.41269583,0.9994999999999999,0.7134972,0.7164882,2,1,0,0,,,0.61659575,0.24144214,0.16839184,0.0973277,-0.114986375,-0.008771027,0.8055772572819158,0.6180208042030881,0.513225227314481,0.66406053,0.6454123,0.6373468,0.035511903
ARG,Argentina,Argentine Peso,1998,417722.75,417425.03,36.134642,12.561841,1903.0,2.6800742,405283.1,404425.2,1.6008795e6,0.60495865,354788.9894756062,1.4891866e6,1.0429693,0.42495766,0.9994999999999999,0.73799753,0.739563,2,1,0,0,,,0.63728034,0.24309386,0.14698915,0.10586468,-0.12456771,-0.008660348,0.8013629807878606,0.6379922487388157,0.6286633934556347,0.61740226,0.62283236,0.6392902,0.029460216
ARG,Argentina,Argentine Peso,1999,387121.47,388052.75,36.541029,12.624569,1898.56,2.6848211,376330.16,377245.16,1.5989195e6,0.55144984,342777.7490100073,1.5169121e6,0.99433047,0.45229447,0.9994999999999999,0.7537659,0.75193775,2,1,0,0,,68.33333333333333,0.6647345,0.2095666,0.14051549,0.10393041,-0.10913155,-0.009615449,0.7934387437351194,0.6409326281136375,0.7343673835167489,0.5951109,0.61958575,0.63993937,0.033961684
ARG,Argentina,Argentine Peso,2000,375820.22,376867.9,36.930709,12.779983,1871.95,2.6895764,368488.53,370076.97,1.5825098e6,0.5322583,340073.2712479336,1.5343425e6,0.97414523,0.44920966,0.9994999999999999,0.7716547,0.7683427,2,1,0,0,,,0.6693248,0.2042663,0.12858582,0.12461311,-0.11656317,-0.010226814,0.795887797935401,0.6595178505323629,0.8236509290777472,0.57118523,0.58604586,0.6691218,0.051799476
ARG,Argentina,Argentine Peso,2001,349305.25,354106.94,37.302116,12.999863,1836.46,2.7044523,343719.34,347837.5,1.564938e6,0.5007556,325080.0001870545,1.5424771e6,0.9190309,0.46052513,0.9994999999999999,0.7821239,0.77286416,2,1,0,0,,,0.66742074,0.18761134,0.120225616,0.13768858,-0.10261031,-0.01033598,0.797991517881637,0.6437110685979647,0.9100288782768416,0.5556118,0.5693514,0.64768493,0.05292501
ARG,Argentina,Argentine Peso,2002,326243.38,302362.28,37.65734,11.58112,1738.87,2.7194107,321931.78,298291.66,1.4896265e6,0.4734883,289664.1847871655,1.5364286e6,0.858744,0.36066014,3.063256666666667,0.31696707,0.34208724,2,1,0,0,,,0.66118306,0.13508865,0.120957755,0.1508181,-0.054319423,-0.013728135,0.3202539964120971,0.2748550874615757,0.34603161465121535,0.5714746,0.5548065,0.25977156,0.13149008
ARG,Argentina,Argentine Peso,2003,342544.3,325713.28,38.001250999999996,12.302919,1774.36,2.7344518,338281.34,320542.56,1.4893415e6,0.49203038,315261.9689105598,1.5480759e6,0.9084313,0.35415542,2.900629166666667,0.38310066,0.40430138,2,1,0,0,,,0.660553,0.1686114,0.10779652,0.1470837,-0.07207634,-0.011968239,0.38681183564736127,0.3392201326732392,0.42899562393185225,0.6350142,0.5995089,0.31354082,0.13837166
ARG,Argentina,Argentine Peso,2004,361803.25,348376.8,38.340778,13.087397,1805.41,2.749576,357125.12,344248.3,1.5345012e6,0.50216746,343728.7430343434,1.5757564e6,0.9556601,0.37330157,2.923300818903319,0.4287837,0.4448226,2,1,0,0,,88.88888888888887,0.66772693,0.19609013,0.0974776,0.1464312,-0.10187531,-0.005850525,0.41846010548027784,0.42459489226964575,0.5079275323747382,0.6859077,0.6400053,0.3788246,0.13545084
ARG,Argentina,Argentine Peso,2005,385129.22,375279.44,38.681174,13.987501,1840.9,2.764784,385129.22,375279.44,1.6138954e6,0.5195682,375279.4179550025,1.6138954e6,1.0,0.39775944,2.9036575,0.4756744,0.48815918,1,1,0,0,0.827094864628918,86.1111111111111,0.6735025,0.19995864,0.09245013,0.15107954,-0.11345766,-0.0035331638,0.4445752298642711,0.5095653145311255,0.6289307317617918,0.70738053,0.673785,0.44092122,0.15991123
AUS,Australia,Australian Dollar,1970,213211.1,242139.28,12.728361999999999,5.450745,1824.01,2.9644759,214117.97,213642.38,601816.4,0.83276904,240100.49173387844,736667.56,0.7971454,0.80187166,0.892856999892857,0.21088341,0.21135285,0,0,0,0,,,0.5916242,0.2956642,0.108921774,0.12514728,-0.124287724,0.0029303355,0.19149596704522362,0.22835689385758393,0.26875800649323506,0.17284079,0.16881174,0.23210725,0.01059185
AUS,Australia,Australian Dollar,1971,220372.19,252322.73,12.987846999999999,5.5712843,1820.19,2.992862,221126.03,222659.34,629689.9,0.8269719,249459.570509003,763888.9,0.8018392,0.80275786,0.8826702592955477,0.22783937,0.22627039,0,0,0,0,,,0.5842194,0.28312066,0.11007404,0.12394026,-0.10841869,0.0070643052,0.20824872582955611,0.24209669506757744,0.2951457621139726,0.18381515,0.19188173,0.25120452,0.010485599
AUS,Australia,Australian Dollar,1972,231515.38,261268.73,13.236894999999999,5.657101,1816.58,3.0215197,231784.83,229797.0,659113.75,0.81821865,256071.99054950278,791317.06,0.80123967,0.796904,0.8386978072622071,0.25591904,0.25813282,0,0,0,0,,,0.5880198,0.27323633,0.11211684,0.11621351,-0.09505851,0.0054720575,0.23580860758545785,0.2667443870571495,0.33501007026327917,0.23611808,0.20855014,0.28117198,0.01058482
AUS,Australia,Australian Dollar,1973,251225.83,276598.38,13.472175,5.824467,1812.94,3.050452,250913.39,247062.03,693428.25,0.83119065,266610.10128949035,819118.06,0.8031693,0.83618456,0.703497101577426,0.34154248,0.34686667,0,0,0,0,,,0.5768515,0.30652866,0.10779915,0.120940275,-0.10366586,-0.0084537575,0.31766066732464243,0.34380717733342164,0.4628984130933167,0.3211536,0.2659628,0.38911512,0.012842323
AUS,Australia,Australian Dollar,1974,244552.33,254367.75,13.690285,5.9433804,1809.31,3.0796614,247048.58,242212.33,716743.4,0.83030254,269904.95626674,841506.2,0.78975224,0.7231035,0.6966658686380962,0.41332793,0.42158085,0,0,0,0,,,0.6153597,0.26775798,0.12110631,0.13747141,-0.15797418,0.016278729,0.3770544645630131,0.4202801751502892,0.5822679681165068,0.33036768,0.28974295,0.46316847,0.019006867
AUS,Australia,Australian Dollar,1975,245592.12,261585.73,13.889695999999999,5.9317217,1805.68,3.1091504,249630.1,247415.19,748291.6,0.84547424,276996.8114561408,866996.4,0.79939616,0.7173084,0.763871249,0.43653613,0.44044408,0,0,0,0,,,0.60470307,0.26544923,0.13018195,0.1438817,-0.13398552,-0.010230396,0.4009542565145939,0.4363526649688638,0.6021901938262842,0.3336305,0.29656464,0.48139715,0.019142263
AUS,Australia,Australian Dollar,1976,255755.97,274475.3,14.067993999999999,6.025389,1802.11,3.1381712,258747.39,257797.72,767895.44,0.84532773,286895.25477377884,895047.0,0.8059482,0.70445883,0.8182840823333333,0.4536982,0.45536947,0,0,0,0,,,0.60903764,0.2701332,0.12581897,0.14593194,-0.13226013,-0.018661613,0.41802628839709516,0.45241667842084954,0.6291224026333588,0.34888908,0.32518256,0.49606648,0.020326952
AUS,Australia,Australian Dollar,1977,257570.6,279487.6,14.227905,6.080402,1798.26,3.1674628,260050.6,261944.12,806590.5,0.8354656,289440.6769130096,924509.0,0.7949888,0.7036614,0.9018249989999999,0.44726652,0.44403332,0,0,0,0,,,0.6127573,0.2569477,0.12775123,0.15301232,-0.13584532,-0.014623199,0.41338087853804256,0.44358829203186123,0.6171966885443366,0.33197743,0.34155673,0.47826242,0.022838403
AUS,Australia,Australian Dollar,1978,270854.5,294495.6,14.379565,6.085626,1796.06,3.1970277,272915.34,273873.56,855167.75,0.84665984,301401.32220664405,958833.44,0.81408376,0.79395366,0.873659249,0.49736825,0.49562806,0,0,0,0,,,0.5912844,0.28688538,0.12774275,0.1361423,-0.12889722,-0.013157597,0.46959985770691565,0.47746558779471915,0.670597398154002,0.38947845,0.39709222,0.51050425,0.021518366
AUS,Australia,Australian Dollar,1979,280525.56,298944.25,14.536838999999999,6.15809,1816.35,3.2268689,282617.75,283433.7,899785.3,0.8597878,310615.93960137607,993514.9,0.81892973,0.7823111,0.8946409156666667,0.531871,0.53033984,0,0,0,0,,,0.5836909,0.28093466,0.12566674,0.1515466,-0.1313053,-0.010533628,0.503407584518231,0.5055660264062167,0.7228824306088187,0.44149482,0.4393465,0.5401883,0.030870887
AUS,Australia,Australian Dollar,1980,289871.7,301442.88,14.709918,6.3270392,1814.78,3.2569883,294251.0,294267.66,943714.9,0.87687474,321179.9146059754,1.03691156e6,0.8153857,0.77218693,0.8782443323333333,0.5895151,0.5894817,0,0,0,0,,,0.58718765,0.30289006,0.12731189,0.1616867,-0.14892969,-0.030146662,0.5582985721648969,0.5532292749761226,0.8198200268824727,0.4647764,0.45432237,0.60489297,0.033146385
AUS,Australia,Australian Dollar,1981,304013.75,314695.0,14.90161,6.4061923,1814.78,3.25701,308928.97,306967.72,1.00129494e6,0.88886815,331579.8723227927,1.0845109e6,0.8252315,0.7700725,0.8702145823333334,0.65377027,0.65794724,0,0,0,0,,,0.59205616,0.3171454,0.12518795,0.14665012,-0.15913586,-0.021903725,0.6171238252096588,0.6141762690915685,0.9273894943905169,0.49584422,0.4814123,0.6695607,0.032554723
AUS,Australia,Australian Dollar,1982,296616.62,310651.56,15.109658999999999,6.395645,1804.15,3.2570317,302601.44,301398.44,1.0378984e6,0.8854611,323905.7557617662,1.1203522e6,0.80088615,0.7515145,0.9858628323333334,0.6343449,0.6368768,0,0,0,0,,,0.617879,0.2750359,0.13149697,0.14903009,-0.16423106,-0.009210928,0.6020860075659985,0.5803350158161111,0.898888846941711,0.48006135,0.47878247,0.65356195,0.03324108
AUS,Australia,Australian Dollar,1983,314046.5,330875.75,15.33279,6.294256,1789.65,3.2570534,319280.44,319986.16,1.0296315e6,0.91611,339277.9606412644,1.158232e6,0.8416032,0.73043674,1.110014999166667,0.6031415,0.60181123,0,0,0,0,,,0.59356153,0.2848627,0.12914486,0.14045714,-0.13325615,-0.014770094,0.5719813859683405,0.55688749842564,0.8483811588197955,0.44727862,0.44898576,0.6410854,0.030194115
AUS,Australia,Australian Dollar,1984,326956.66,343928.6,15.567927,6.518254,1805.11,3.257075,330786.62,332290.7,1.0433053e6,0.8906928,356455.617357808,1.2024852e6,0.8532372,0.72562695,1.139519165916667,0.62466294,0.6218355,0,1,0,0,,,0.5764945,0.3009059,0.13043952,0.15062393,-0.14394498,-0.0145188905,0.5935895368325548,0.5670866102533945,0.8948165167449593,0.46219385,0.4745832,0.6739421,0.032391552
AUS,Australia,Australian Dollar,1985,336512.56,355704.97,15.812088,6.750588,1795.45,3.2570968,343307.25,344941.53,1.0722868e6,0.8785032,372806.87927821965,1.2495616e6,0.86085594,0.72196156,1.4318949995,0.5292303,0.5267229,1,1,0,0,0.9212862384972262,,0.5880363,0.30653173,0.13261108,0.14565971,-0.14292628,-0.02991251,0.5038029626399918,0.48221238250733467,0.7506648303289992,0.45310864,0.4697209,0.5910365,0.039860696
AUS,Australia,Australian Dollar,1986,343363.3,370753.66,16.066496,7.046725,1779.02,3.259852,350300.3,353124.25,1.1272545e6,0.854505,382573.47792991,1.2934624e6,0.84779376,0.7095488,1.495974166416667,0.54486847,0.5405112,2,1,0,0,,,0.58798254,0.2903127,0.13860743,0.12721683,-0.12934095,-0.014778542,0.5205008461161165,0.5033321017795771,0.7352357064158654,0.5003769,0.53529423,0.6042425,0.027305745
AUS,Australia,Australian Dollar,1987,370375.03,399721.5,16.330369,7.213516,1795.45,3.2626092,377707.16,380913.34,1.1821304e6,0.8891547,404186.5406095097,1.3422474e6,0.87089795,0.6913421,1.42818,0.6017087,0.59664404,2,1,0,0,,,0.5640091,0.29966554,0.13714641,0.12673572,-0.120125376,-0.007431384,0.5833102014378198,0.5549193200064193,0.7796067652841675,0.5486462,0.5882011,0.6659502,0.026340099
AUS,Australia,Australian Dollar,1988,397921.06,424540.3,16.596096,7.486357,1814.78,3.2653692,404052.78,405140.3,1.2549799e6,0.8913106,420000.33049457456,1.3989681e6,0.8703366,0.6929359,1.279908333333333,0.7117445,0.70983386,2,1,0,0,,,0.55743575,0.31334883,0.13647771,0.13250045,-0.1326419,-0.007120849,0.6925312720738617,0.6647581016014956,0.898098893620249,0.5999372,0.6145629,0.79520947,0.031941716
AUS,Australia,Australian Dollar,1989,414879.5,438441.88,16.85369,7.799517,1809.95,3.2681313,418062.1,418525.84,1.3180679e6,0.8706442,435045.1316342311,1.4526056e6,0.86586016,0.6052806,1.264596666666667,0.76547444,0.7646263,2,1,0,0,,,0.5665546,0.3025029,0.13919912,0.1405275,-0.15215279,0.0033686387,0.7437379271819232,0.726093984024264,0.9395247838449035,0.60803896,0.62562346,0.8530771,0.025877351
AUS,Australia,Australian Dollar,1990,411220.53,435882.88,17.096152999999997,7.9240603,1806.08,3.2708957,412046.03,414718.78,1.3685304e6,0.8372655,433539.32676524884,1.4913391e6,0.84539837,0.6135172,1.281056666666667,0.78730816,0.78223413,2,1,0,0,,,0.60003877,0.24702893,0.139607,0.14532918,-0.13847128,0.0064674057,0.7461615155263369,0.7607372968894638,1.0111747745280486,0.64345115,0.67273253,0.85421294,0.029584667
AUS,Australia,Australian Dollar,1991,412705.47,438040.22,17.320633,7.7266755,1795.45,3.2744372,412783.9,414847.3,1.3983569e6,0.8424025,435364.33450968354,1.523709e6,0.8543807,0.60716575,1.283755833333333,0.7987583,0.7947853,2,1,0,0,,,0.6152053,0.23378918,0.14623615,0.14931272,-0.1372822,-0.0072611608,0.7625550614742369,0.7511923730188012,1.0271069941306075,0.6584019,0.6752521,0.84499425,0.026804907
AUS,Australia,Australian Dollar,1992,429406.16,457951.72,17.529469,7.684468,1787.72,3.2779822,427768.38,440004.53,1.4367189e6,0.8620747,453198.06037735473,1.560825e6,0.8832652,0.59930265,1.361648333333333,0.76277906,0.7415668,2,1,0,0,,,0.58482164,0.24910858,0.14372884,0.1686298,-0.13612637,-0.010162514,0.7405967370667421,0.6957644467255417,0.9691860122959104,0.5671167,0.6778086,0.79744834,0.027107267
AUS,Australia,Australian Dollar,1993,447858.75,473751.2,17.727413,7.7365117,1810.91,3.2815313,446402.78,449990.8,1.5128136e6,0.85315084,471658.8369529307,1.6017558e6,0.90544814,0.5930852,1.47056,0.712,0.70632285,2,1,0,0,,,0.5871318,0.26286983,0.14452077,0.15407486,-0.14761469,-0.0009825527,0.6972732955183497,0.6472509225944011,0.8896014559371892,0.60403615,0.6378086,0.7308746,0.027115606
AUS,Australia,Australian Dollar,1994,472789.4,496272.25,17.921818,7.983805,1815.74,3.285084,467442.88,468974.25,1.6099604e6,0.8412466,490596.5253345187,1.6527429e6,0.9120918,0.5959389,1.367750833333333,0.77645665,0.77392125,2,1,0,0,,,0.59152555,0.2767601,0.1480936,0.15530562,-0.15931639,-0.012368459,0.763219682814224,0.7209689410768851,0.9330252207011568,0.6487848,0.66811013,0.7777196,0.023371216
